id,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout
61,ABB,2012,1653,1451,202.0,12.220205686630369,33,0,19,215,33.0,145,68.0,25.0
62,ABB,2014,2276,2009,267.0,11.731107205623902,49,0,22,295,33.0,198,93.0,25.0
63,ABB,2015,2289,1977,312.0,13.630406290956751,48,0,15,344,34.0,229,108.0,29.0
64,ABB,2016,2614,2250,365.0,13.963274674827849,50,3,14,398,36.0,255,120.0,29.0
65,ABB,2017,2903,2505,398.0,13.709955218739237,57,2,16,436,37.0,277,130.0,31.0
66,ABB,2018,3298,2774,525.0,15.918738629472406,117,4,16,621,35.0,401,189.0,29.0
67,ABB,2019,3679,3074,605.0,16.444686055993476,113,2,17,699,36.0,450,212.0,31.0
68,ABB,2020,4093,3336,757.0,18.49499144881505,114,9,60,803,26.0,593,279.0,90.0
69,ABB,2021,4310,3388,922.0,21.392111368909514,81,18,58,926,25.0,691,325.0,85.0
70,ABB,2022,4913,3832,1082.0,22.023203745165887,83,19,66,1080,26.0,799,376.0,73.0
71,ABB,2023,5349,4143,1206.0,22.546270330902974,154,16,70,1274,25.0,949,447.0,73.0
72,ABB,2024,5849,4396,1453.0,24.84185330825782,248,12,71,1618,26.0,1201,565.0,73.0
86,ADANIENSOL,2014,0,0,0.0,,0,0,0,0,0.0,0,0.0,
87,ADANIENSOL,2015,131,29,101.0,77.09923664122137,3,73,37,-5,34.0,-7,0.0,0.0
88,ADANIENSOL,2016,2194,267,1927.0,87.83044667274385,70,957,560,480,23.0,368,3.0,0.0
89,ADANIENSOL,2017,2876,893,1983.0,68.94993045897078,22,904,569,532,22.0,416,4.0,0.0
90,ADANIENSOL,2018,3944,1118,2826.0,71.65314401622717,111,886,579,1472,22.0,1143,10.0,0.0
91,ADANIENSOL,2019,7305,4528,2778.0,38.02874743326489,336,1391,882,840,33.0,559,5.0,0.0
92,ADANIENSOL,2020,11416,7158,4258.0,37.29852838121934,261,2238,1174,1107,36.0,706,7.0,0.0
93,ADANIENSOL,2021,9926,5976,3950.0,39.79447914567802,1115,2117,1329,1620,20.0,1290,11.0,0.0
94,ADANIENSOL,2022,11258,7051,4206.0,37.360099484810796,1286,2365,1427,1700,27.0,1236,11.0,0.0
95,ADANIENSOL,2023,13293,8775,4518.0,33.98781313473256,1583,2781,1608,1712,25.0,1281,11.0,0.0
96,ADANIENSOL,2024,16607,10896,5711.0,34.38911302462817,611,2767,1776,1780,33.0,1196,10.0,0.0
98,ADANIENT,2013,46375,40354,6021.0,12.983288409703503,1775,3492,2298,2005,39.0,1218,15.0,10.0
99,ADANIENT,2014,54947,45564,9383.0,17.07645549347553,1157,5703,3223,1614,-64.0,2646,20.0,7.0
100,ADANIENT,2015,64465,52015,12450.0,19.312805398278137,792,7056,3522,2663,14.0,2298,18.0,8.0
101,ADANIENT,2016,34008,32325,1684.0,4.951776052693484,1044,1357,314,1056,7.0,1000,9.0,4.0
102,ADANIENT,2017,36533,34631,1902.0,5.206251881860236,749,1257,315,1079,25.0,925,9.0,4.0
103,ADANIENT,2018,35924,33886,2038.0,5.673087629439929,363,1250,664,487,23.0,594,7.0,6.0
104,ADANIENT,2019,40379,38409,1969.0,4.876297085118502,504,1625,390,459,32.0,506,7.0,6.0
105,ADANIENT,2020,43403,41108,2294.0,5.285348939013432,872,1572,472,1122,29.0,1040,10.0,10.0
106,ADANIENT,2021,39537,37031,2506.0,6.338366593317652,494,1377,537,1086,31.0,1046,8.0,12.0
107,ADANIENT,2022,69420,65707,3714.0,5.3500432152117545,1012,2526,1248,952,50.0,788,7.0,14.0
108,ADANIENT,2023,127540,118722,8818.0,6.913909361768857,834,3969,2436,3247,32.0,2422,22.0,6.0
109,ADANIENT,2024,96421,85044,11377.0,11.799296833677312,1146,4555,3042,4926,33.0,3335,28.0,5.0
111,ADANIGREEN,2017,502,98,403.0,80.2788844621514,80,334,333,-184,-75.0,-47,0.0,0.0
112,ADANIGREEN,2018,1480,637,843.0,56.95945945945946,42,552,543,-210,-35.0,-138,-1.0,0.0
113,ADANIGREEN,2019,2058,532,1526.0,74.14965986394559,73,1121,1062,-585,-19.0,-475,-3.0,0.0
114,ADANIGREEN,2020,2549,1098,1450.0,56.88505296194586,-111,995,394,-50,23.0,-68,0.0,0.0
115,ADANIGREEN,2021,3124,883,2241.0,71.73495518565942,391,1953,486,193,6.0,182,1.0,0.0
116,ADANIGREEN,2022,5133,1621,3512.0,68.42002727449834,507,2617,849,553,12.0,489,3.0,0.0
117,ADANIGREEN,2023,7776,2806,4970.0,63.91460905349794,667,2911,1300,1426,32.0,973,6.0,0.0
118,ADANIGREEN,2024,9220,1902,7318.0,79.3709327548807,1262,5006,1903,1671,25.0,1260,7.0,0.0
120,ADANIPORTS,2013,3577,1195,2382.0,66.59211629857423,344,542,422,1762,7.0,1639,8.0,12.0
121,ADANIPORTS,2014,4830,1910,2919.0,60.43478260869565,685,977,649,1978,12.0,1741,8.0,12.0
122,ADANIPORTS,2015,6152,2250,3902.0,63.42652795838751,686,1175,912,2501,7.0,2324,11.0,10.0
123,ADANIPORTS,2016,7109,2532,4577.0,64.38317625545083,730,1124,1063,3119,9.0,2856,14.0,8.0
124,ADANIPORTS,2017,8439,3021,5418.0,64.20191965872733,1037,1116,1160,4179,7.0,3902,19.0,7.0
125,ADANIPORTS,2018,11323,4166,7157.0,63.20763048662016,844,1579,1188,5234,30.0,3690,18.0,11.0
126,ADANIPORTS,2019,10925,4330,6596.0,60.37528604118994,1289,1385,1373,5126,21.0,4045,19.0,1.0
127,ADANIPORTS,2020,11873,5926,5947.0,50.08843594710688,1928,1951,1680,4244,11.0,3785,19.0,17.0
128,ADANIPORTS,2021,12550,3862,8688.0,69.22709163346613,1967,2255,2107,6292,20.0,5049,25.0,20.0
129,ADANIPORTS,2022,17119,7591,9528.0,55.65745662713943,1832,2544,3099,5717,13.0,4953,23.0,22.0
130,ADANIPORTS,2023,20852,9905,10947.0,52.498561289084975,327,2363,3425,5487,2.0,5391,25.0,20.0
131,ADANIPORTS,2024,26711,11121,15589.0,58.36172363445772,671,2733,3888,9639,16.0,8104,38.0,16.0
146,ADANIPOWER,2013,6692,5732,960.0,14.34548714883443,215,1703,1290,-1818,26.0,-2295,-10.0,0.0
147,ADANIPOWER,2014,15328,10735,4593.0,29.964770354906058,137,4162,1937,-1370,-79.0,-291,-1.0,0.0
148,ADANIPOWER,2015,18683,14005,4678.0,25.03880533104962,1188,4864,1818,-816,0.0,-816,-3.0,0.0
149,ADANIPOWER,2016,25377,16575,8802.0,34.6849509398274,-201,5560,2666,375,-47.0,551,2.0,0.0
150,ADANIPOWER,2017,22616,16635,5980.0,26.44145737530951,-3666,5902,2672,-6260,-1.0,-6174,-16.0,0.0
151,ADANIPOWER,2018,20304,14868,5436.0,26.773049645390074,754,5570,2699,-2079,0.0,-2103,-5.0,0.0
152,ADANIPOWER,2019,23884,18901,4983.0,20.86333947412494,2448,5657,2751,-976,1.0,-984,-3.0,0.0
153,ADANIPOWER,2020,26468,20734,5734.0,21.66389602538915,323,5315,3006,-2265,0.0,-2275,-6.0,0.0
